contra        	sidi	20200528	1	PASS	3a12b3d	54001b6
contra        	mist	20200528	1	PASS	3a12b3d	54001b6
contra        	mister	20200528	1	PASS	3a12b3d	54001b6
contra        	mister	20200528	1	FAIL	6155934	54001b6
contra        	mister	20200528	1	PASS	6155934	54001b6
contra        	mist	20200528	1	PASS	6155934	54001b6
contra        	mister	20200528	1	PASS	6155934	54001b6
contra        	mist	20200530	1	PASS	295a8e3	b07b185
contra        	mist	20200530	1	PASS	295a8e3	b07b185
contra        	mist	20200530	1	PASS	5fd6d79	4eef69e
contra        	mist	20200603	1	PASS	5fd6d79	4d3fde9
contra        	mist	20200626	1	FAIL	15fc297	ef8cb71
contra        	mist	20200626	1	FAIL	15fc297	ef8cb71
contra        	mist	20200626	1	FAIL	15fc297	ef8cb71
contra        	mist	20200626	1	PASS	15fc297	ef8cb71
contra        	mist	20200627	1	PASS	48134e9	ef8cb71
contra        	mist	20200627	1	FAIL	48134e9	ef8cb71
contra        	mist	20200627	1	FAIL	48134e9	ef8cb71
contra        	mist	20200627	1	FAIL	48134e9	ef8cb71
contra        	mist	20200627	1	FAIL	48134e9	ef8cb71
contra        	mist	20200627	1	FAIL	48134e9	ef8cb71
contra        	mist	20200627	1	PASS	48134e9	ef8cb71
contra        	mist	20200627	1	PASS	48134e9	ef8cb71
contra        	mist	20200627	1	PASS	48134e9	ef8cb71
contra        	mist	20200627	1	PASS	392d725	ef8cb71
contra        	mist	20200628	1	PASS	392d725	ef8cb71
contra        	mist	20200628	1	PASS	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	FAIL	392d725	ef8cb71
contra        	mist	20200629	1	PASS	392d725	ef8cb71
contra        	mist	20200629	1	PASS	392d725	ef8cb71
contra        	mist	20200629	1	PASS	d984c0e	ef8cb71
contra        	mist	20200629	1	PASS	d984c0e	ef8cb71
comsc         	mist	20200630	1	FAIL	98372a7	ef8cb71
comsc         	mist	20200630	1	FAIL	98372a7	ef8cb71
comsc         	mist	20200630	1	FAIL	98372a7	ef8cb71
comsc         	mist	20200630	1	FAIL	98372a7	ef8cb71
comsc         	mist	20200630	1	PASS	98372a7	ef8cb71
comsc         	mist	20200630	1	PASS	be8077e	baa5758
comsc         	mist	20200701	1	PASS	299bfcc	baa5758
comsc         	mist	20200701	1	PASS	700368f	baa5758
comsc         	mist	20200701	1	PASS	e334c5c	baa5758
comsc         	mist	20200701	1	PASS	9a9bf98	350fccc
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
contra        	mist	20200701	1	FAIL	9a9bf98	5e2453c
comsc         	mist	20200701	1	PASS	9a9bf98	5e2453c
